abbreviation,result_state
ak,Alaska
al,Alabama
and other unanticipated locations in us,Unknown
appian way,Unknown
ar,Arkansas
az,Arizona
ca,California
ca  for,California
ca  various unantic locs through us,California
ca and var unantic locs thruout us,California
cnmi,Northern Mariana Islands
cnmi mp,Northern Mariana Islands
co,Colorado
coraopolis,Pennsylvania
ct,Connecticut
dallas,Texas
dallas county,Texas
dc,Washington DC
dc this is cooley llp office,Washington DC
de,Delaware
fairfield county,Virginia
fl,Florida
fm,Federated States of Micronesia
ga,Georgia
georgia,Georgia
greenville,South Carolina
gu,Guam
guam,Guam
herndon,Virginia
hi,Hawaii
ia,Iowa
id,Idaho
idaho,Idaho
il,Illinois
in,Indiana
inc,Unknown
inc office,Unknown
irving,Texas
ks,Kansas
ky,Kentucky
la,Louisiana
los angeles county,California
ma,Massachusetts
md,Maryland
me,Maine
mh,Marshall Islands
mi,Michigan
mineral resources bldg,Unknown
mn,Minnesota
mo,Missouri
mp,Northern Mariana Islands
ms,Mississippi
mt,Montana
nc,North Carolina
nd,North Dakota
ne,Nebraska
new york,New York
nh,New Hampshire
nj,New Jersey
nm,New Mexico
no_value,Unknown
north avenue,Unknown
nv,Nevada
nw,Unknown
ny,New York
oh,Ohio
ok,Oklahoma
or,Oregon
orange county,California
pa,Pennsylvania
pa  various unanticipated locations,Pennsylvania
portland,Oregon
pr,Puerto Rico
puerto rico,Puerto Rico
pw,Palau
queens,New York
ri,Rhode Island
saipan,Northern Mariana Islands
sc,South Carolina
sd,South Dakota
see h,Unknown
st croix,Virgin Islands
sterling,Virginia
suite,Unknown
suite c,Unknown
suite r,Unknown
terrace,Unknown
tn,Tennessee
tx,Texas
ut,Utah
va,Virginia
va  various unantic locations through us,Virginia
va and various unanticipated us locations,Virginia
vi,Virgin Islands
villa platte,Louisiana
vir,Virginia
vt,Vermont
wa,Washington
washington dc,Washington DC
welsh humanities office bldg,Unknown
wi,Wisconsin
wv,West Virginia
wy,Wyoming